avg_ev,avg_la,count,avg_distance,std_distance,estimated_spin,sim_distance,distance_error,distance_error_pct
92.6,17.2,220,266.4,31.1,630.0,272.8125533472654,6.41255334726543,2.4071146198443807
92.6,22.1,287,308.6,24.1,910.0000000000001,315.412962326055,6.812962326054958,2.2077000408473615
92.6,26.9,270,333.7,22.5,1342.5,344.33533886539146,10.635338865391475,3.187095854177847
92.6,31.9,268,335.2,19.7,1717.5,351.82421276413083,16.624212764130846,4.959490681423284
92.5,36.9,271,326.5,18.4,2045.0,341.2539470840962,14.753947084096183,4.518819933873257
97.7,17.1,335,288.7,32.8,627.5,296.467924348172,7.767924348172016,2.6906561649366183
97.5,22.1,290,335.7,26.0,910.0000000000001,340.9663210689141,5.266321068914124,1.5687581378951814
97.5,27.0,305,360.1,21.1,1350.0,370.1458425827736,10.04584258277356,2.789736901631091
97.4,31.9,275,363.4,18.4,1717.5,374.59582036148873,11.195820361488757,3.080853153959482
97.3,36.9,217,352.3,17.5,2045.0,360.70709836645227,8.40709836645226,2.3863463997877545
102.3,16.8,345,305.1,37.6,620.0,315.7096544411505,10.609654441150496,3.4774350839562422
102.4,21.9,356,359.3,28.2,889.9999999999999,364.4234871974926,5.1234871974925795,1.4259635951830167
102.5,26.8,247,389.0,22.6,1335.0,394.90157327137564,5.901573271375639,1.517113951510447
102.2,31.9,219,389.1,19.3,1717.5,396.44512569080246,7.345125690802433,1.8877218429201832
102.2,36.9,134,378.2,19.6,2045.0,379.396039272051,1.1960392720509958,0.3162451803413527
107.2,17.0,270,323.9,40.4,625.0,341.2670098537472,17.36700985374722,5.361843116315907
107.2,22.0,221,382.4,32.1,900.0,389.80996367711583,7.409963677115854,1.9377520076139787
107.0,26.8,172,410.1,23.2,1335.0,417.1265193717855,7.026519371785469,1.7133673181627573
106.7,31.9,96,414.2,15.4,1717.5,416.053584097633,1.8535840976330178,0.4475094393126552
107.0,36.6,50,402.5,17.2,2030.0,398.1842471757286,-4.315752824271385,-1.0722367265270523
111.6,16.7,59,333.2,44.1,617.5,359.2020366616027,26.002036661602688,7.803732491477398
111.5,22.4,47,401.0,36.6,939.9999999999999,415.066298527477,14.066298527476988,3.507805119071568
111.8,26.6,28,430.7,33.0,1320.0,439.67873288861335,8.978732888613365,2.0846837447442224
112.0,31.9,17,422.9,31.0,1717.5,438.03719028403833,15.137190284038354,3.5793781707350094
